[[0. 0. 0. 0. 0. 0.]]
[[ 2.14988997e-04  1.06281524e-03 -9.26193287e-03 -1.36245880e-04
  -3.16379434e-04  5.12261056e-05]]
[[-1.72273195e-03 -1.65508721e-04 -1.02353028e-02  1.50504609e-04
  -3.32418351e-04  6.90753417e-05]]
[[-9.35000504e-04  3.66006723e-04 -8.00449443e-03  1.95894896e-04
  -4.42283206e-04  6.87295808e-05]]
[[-0.00035466  0.00054993 -0.00908289  0.00015398 -0.00033875  0.00017404]]
[[ 1.06251107e-03  1.90278956e-03 -8.60370659e-03  5.17002607e-05
  -3.82758282e-04  1.47540438e-04]]
[[ 2.76679625e-06  1.66161591e-03 -8.25610876e-03  4.56433162e-04
  -3.63465029e-04  7.59140416e-05]]
[[-1.43701414e-03  5.72931208e-04 -9.54522452e-03  3.01824590e-04
  -4.31446313e-04  4.71168318e-05]]
[[-3.13613695e-04  9.60063045e-04 -1.08370372e-02  2.27010988e-04
  -3.30846526e-04  1.62968642e-05]]
[[-9.67466960e-04 -1.59063741e-03 -1.16489022e-02  1.26757925e-04
  -3.26060555e-04 -1.39979704e-05]]
[[-0.20521324  0.07167911  0.12496767  0.02666116  0.14848237  0.00445071]]
[[-0.20452754  0.07151562  0.1263391   0.02704837  0.14840569  0.00439601]]
[[-0.20854891  0.07233321  0.12823405  0.02662835  0.14848779  0.00449034]]
[[-0.20755991  0.07368198  0.13219979  0.02709041  0.14842526  0.00443533]]
[[-0.20823247  0.07405907  0.1342286   0.02710848  0.14843296  0.00449348]]
[[-0.20864081  0.07431107  0.13558167  0.02714885  0.14839821  0.00446806]]
[[-0.20798824  0.07423693  0.13428185  0.02686708  0.14859069  0.00452503]]
[[-0.20849708  0.07443208  0.13535984  0.02700019  0.14845054  0.00453466]]
[[-0.20942054  0.07696593  0.13697362  0.02725385  0.14848418  0.00460249]]
[[-0.2088772   0.07765081  0.1391314   0.02714164  0.14849384  0.00456538]]
[[-0.21035522  0.07841295  0.13843121  0.02733443  0.14855565  0.0045427 ]]
[[-0.21033799  0.07843713  0.1387485   0.02714487  0.14860171  0.00454335]]
[[-0.21025338  0.07599595  0.14003198  0.0273197   0.14869222  0.00449954]]
[[-0.21229808  0.07528066  0.13862825  0.02729052  0.14843263  0.00456322]]
[[-0.21324447  0.07458092  0.14121138  0.02722119  0.14861244  0.00459119]]
[[-0.21178652  0.07478406  0.14079723  0.02715568  0.1487893   0.00451468]]
[[-0.21231003  0.07385163  0.14058153  0.02738783  0.14863226  0.00447435]]
[[-0.20885408  0.07323561  0.14262648  0.02737873  0.14859801  0.00451332]]
[[-0.20806234  0.0730237   0.14293827  0.02761906  0.14873194  0.00454   ]]
[[-0.20937686  0.07286302  0.14308449  0.02708445  0.14882038  0.00460236]]
[[-0.21103042  0.07345693  0.14075596  0.02717148  0.14881084  0.00463519]]
[[-0.21076684  0.07318682  0.13894132  0.027594    0.14855671  0.00453543]]
[[-0.21053897  0.07447354  0.13999135  0.0274248   0.14840982  0.00449902]]
[[-0.21259348  0.07498365  0.13796604  0.02730215  0.14860997  0.00441596]]
[[-0.21195861  0.07484116  0.1366574   0.02739601  0.14856021  0.00442747]]
[[-0.21166358  0.07429485  0.13754994  0.02761848  0.14848533  0.00450397]]
[[-0.21172743  0.07324807  0.13684783  0.02731979  0.14856004  0.00459695]]
